ticker,side,entry_price,tp_price,sl_price,max_hold_days,asof_date
ALB,BUY,0.0,0.0,0.0,2,2025-12-04
AMT,BUY,0.0,0.0,0.0,2,2025-12-04
AMZN,BUY,0.0,0.0,0.0,2,2025-12-04
ARM,BUY,0.0,0.0,0.0,2,2025-12-04
ASML,BUY,0.0,0.0,0.0,2,2025-12-04
AVGO,BUY,0.0,0.0,0.0,2,2025-12-04
AZN,BUY,0.0,0.0,0.0,2,2025-12-04
BA,BUY,0.0,0.0,0.0,2,2025-12-04
BAC,BUY,0.0,0.0,0.0,2,2025-12-04
BLK,BUY,0.0,0.0,0.0,2,2025-12-04
AA,BUY,0.0,0.0,0.0,2,2025-12-05
AAPL,BUY,0.0,0.0,0.0,2,2025-12-05
ABBV,BUY,0.0,0.0,0.0,2,2025-12-05
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-05
AEP,BUY,0.0,0.0,0.0,2,2025-12-05
ALB,BUY,0.0,0.0,0.0,2,2025-12-05
AMT,BUY,0.0,0.0,0.0,2,2025-12-05
AMZN,BUY,0.0,0.0,0.0,2,2025-12-05
ARM,BUY,0.0,0.0,0.0,2,2025-12-05
ASML,BUY,0.0,0.0,0.0,2,2025-12-05
AVGO,BUY,0.0,0.0,0.0,2,2025-12-05
AZN,BUY,0.0,0.0,0.0,2,2025-12-05
BA,BUY,0.0,0.0,0.0,2,2025-12-05
BAC,BUY,0.0,0.0,0.0,2,2025-12-05
BLK,BUY,0.0,0.0,0.0,2,2025-12-05
AA,BUY,0.0,0.0,0.0,2,2025-12-08
AAPL,BUY,0.0,0.0,0.0,2,2025-12-08
ABBV,BUY,0.0,0.0,0.0,2,2025-12-08
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-08
AEP,BUY,0.0,0.0,0.0,2,2025-12-08
ALB,BUY,0.0,0.0,0.0,2,2025-12-08
AMT,BUY,0.0,0.0,0.0,2,2025-12-08
AMZN,BUY,0.0,0.0,0.0,2,2025-12-08
ARM,BUY,0.0,0.0,0.0,2,2025-12-08
ASML,BUY,0.0,0.0,0.0,2,2025-12-08
AVGO,BUY,0.0,0.0,0.0,2,2025-12-08
AZN,BUY,0.0,0.0,0.0,2,2025-12-08
BA,BUY,0.0,0.0,0.0,2,2025-12-08
BAC,BUY,0.0,0.0,0.0,2,2025-12-08
BLK,BUY,0.0,0.0,0.0,2,2025-12-08
AA,BUY,0.0,0.0,0.0,2,2025-12-09
AAPL,BUY,0.0,0.0,0.0,2,2025-12-09
ABBV,BUY,0.0,0.0,0.0,2,2025-12-09
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-09
AEP,BUY,0.0,0.0,0.0,2,2025-12-09
ALB,BUY,0.0,0.0,0.0,2,2025-12-09
AMT,BUY,0.0,0.0,0.0,2,2025-12-09
AMZN,BUY,0.0,0.0,0.0,2,2025-12-09
ARM,BUY,0.0,0.0,0.0,2,2025-12-09
ASML,BUY,0.0,0.0,0.0,2,2025-12-09
AVGO,BUY,0.0,0.0,0.0,2,2025-12-09
AZN,BUY,0.0,0.0,0.0,2,2025-12-09
BA,BUY,0.0,0.0,0.0,2,2025-12-09
BAC,BUY,0.0,0.0,0.0,2,2025-12-09
BLK,BUY,0.0,0.0,0.0,2,2025-12-09
AA,BUY,0.0,0.0,0.0,2,2025-12-10
AAPL,BUY,0.0,0.0,0.0,2,2025-12-10
ABBV,BUY,0.0,0.0,0.0,2,2025-12-10
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-10
AEP,BUY,0.0,0.0,0.0,2,2025-12-10
ALB,BUY,0.0,0.0,0.0,2,2025-12-10
AMT,BUY,0.0,0.0,0.0,2,2025-12-10
AMZN,BUY,0.0,0.0,0.0,2,2025-12-10
ARM,BUY,0.0,0.0,0.0,2,2025-12-10
ASML,BUY,0.0,0.0,0.0,2,2025-12-10
AVGO,BUY,0.0,0.0,0.0,2,2025-12-10
AZN,BUY,0.0,0.0,0.0,2,2025-12-10
BA,BUY,0.0,0.0,0.0,2,2025-12-10
BAC,BUY,0.0,0.0,0.0,2,2025-12-10
BLK,BUY,0.0,0.0,0.0,2,2025-12-10
AA,BUY,0.0,0.0,0.0,2,2025-12-11
AAPL,BUY,0.0,0.0,0.0,2,2025-12-11
ABBV,BUY,0.0,0.0,0.0,2,2025-12-11
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-11
AEP,BUY,0.0,0.0,0.0,2,2025-12-11
ALB,BUY,0.0,0.0,0.0,2,2025-12-11
AMT,BUY,0.0,0.0,0.0,2,2025-12-11
AMZN,BUY,0.0,0.0,0.0,2,2025-12-11
ARM,BUY,0.0,0.0,0.0,2,2025-12-11
ASML,BUY,0.0,0.0,0.0,2,2025-12-11
AVGO,BUY,0.0,0.0,0.0,2,2025-12-11
AZN,BUY,0.0,0.0,0.0,2,2025-12-11
BA,BUY,0.0,0.0,0.0,2,2025-12-11
BAC,BUY,0.0,0.0,0.0,2,2025-12-11
BLK,BUY,0.0,0.0,0.0,2,2025-12-11
AA,BUY,0.0,0.0,0.0,2,2025-12-12
AAPL,BUY,0.0,0.0,0.0,2,2025-12-12
ABBV,BUY,0.0,0.0,0.0,2,2025-12-12
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-12
AEP,BUY,0.0,0.0,0.0,2,2025-12-12
ALB,BUY,0.0,0.0,0.0,2,2025-12-12
AMT,BUY,0.0,0.0,0.0,2,2025-12-12
AMZN,BUY,0.0,0.0,0.0,2,2025-12-12
ARM,BUY,0.0,0.0,0.0,2,2025-12-12
ASML,BUY,0.0,0.0,0.0,2,2025-12-12
AVGO,BUY,0.0,0.0,0.0,2,2025-12-12
AZN,BUY,0.0,0.0,0.0,2,2025-12-12
BA,BUY,0.0,0.0,0.0,2,2025-12-12
BAC,BUY,0.0,0.0,0.0,2,2025-12-12
BLK,BUY,0.0,0.0,0.0,2,2025-12-12
AA,BUY,0.0,0.0,0.0,2,2025-12-15
AAPL,BUY,0.0,0.0,0.0,2,2025-12-15
ABBV,BUY,0.0,0.0,0.0,2,2025-12-15
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-15
AEP,BUY,0.0,0.0,0.0,2,2025-12-15
ALB,BUY,0.0,0.0,0.0,2,2025-12-15
AMT,BUY,0.0,0.0,0.0,2,2025-12-15
AMZN,BUY,0.0,0.0,0.0,2,2025-12-15
ARM,BUY,0.0,0.0,0.0,2,2025-12-15
ASML,BUY,0.0,0.0,0.0,2,2025-12-15
AVGO,BUY,0.0,0.0,0.0,2,2025-12-15
AZN,BUY,0.0,0.0,0.0,2,2025-12-15
BA,BUY,0.0,0.0,0.0,2,2025-12-15
BAC,BUY,0.0,0.0,0.0,2,2025-12-15
BLK,BUY,0.0,0.0,0.0,2,2025-12-15
AA,BUY,0.0,0.0,0.0,2,2025-12-16
AAPL,BUY,0.0,0.0,0.0,2,2025-12-16
ABBV,BUY,0.0,0.0,0.0,2,2025-12-16
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-16
AEP,BUY,0.0,0.0,0.0,2,2025-12-16
ALB,BUY,0.0,0.0,0.0,2,2025-12-16
AMT,BUY,0.0,0.0,0.0,2,2025-12-16
AMZN,BUY,0.0,0.0,0.0,2,2025-12-16
ARM,BUY,0.0,0.0,0.0,2,2025-12-16
ASML,BUY,0.0,0.0,0.0,2,2025-12-16
AVGO,BUY,0.0,0.0,0.0,2,2025-12-16
AZN,BUY,0.0,0.0,0.0,2,2025-12-16
BA,BUY,0.0,0.0,0.0,2,2025-12-16
BAC,BUY,0.0,0.0,0.0,2,2025-12-16
BLK,BUY,0.0,0.0,0.0,2,2025-12-16
AA,BUY,0.0,0.0,0.0,2,2025-12-17
AAPL,BUY,0.0,0.0,0.0,2,2025-12-17
ABBV,BUY,0.0,0.0,0.0,2,2025-12-17
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-17
AEP,BUY,0.0,0.0,0.0,2,2025-12-17
ALB,BUY,0.0,0.0,0.0,2,2025-12-17
AMT,BUY,0.0,0.0,0.0,2,2025-12-17
AMZN,BUY,0.0,0.0,0.0,2,2025-12-17
ARM,BUY,0.0,0.0,0.0,2,2025-12-17
ASML,BUY,0.0,0.0,0.0,2,2025-12-17
AVGO,BUY,0.0,0.0,0.0,2,2025-12-17
AZN,BUY,0.0,0.0,0.0,2,2025-12-17
BA,BUY,0.0,0.0,0.0,2,2025-12-17
BAC,BUY,0.0,0.0,0.0,2,2025-12-17
BLK,BUY,0.0,0.0,0.0,2,2025-12-17
AA,BUY,0.0,0.0,0.0,2,2025-12-18
AAPL,BUY,0.0,0.0,0.0,2,2025-12-18
ABBV,BUY,0.0,0.0,0.0,2,2025-12-18
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-18
AEP,BUY,0.0,0.0,0.0,2,2025-12-18
ALB,BUY,0.0,0.0,0.0,2,2025-12-18
AMT,BUY,0.0,0.0,0.0,2,2025-12-18
AMZN,BUY,0.0,0.0,0.0,2,2025-12-18
ARM,BUY,0.0,0.0,0.0,2,2025-12-18
ASML,BUY,0.0,0.0,0.0,2,2025-12-18
AVGO,BUY,0.0,0.0,0.0,2,2025-12-18
AZN,BUY,0.0,0.0,0.0,2,2025-12-18
BA,BUY,0.0,0.0,0.0,2,2025-12-18
BAC,BUY,0.0,0.0,0.0,2,2025-12-18
BLK,BUY,0.0,0.0,0.0,2,2025-12-18
AA,BUY,0.0,0.0,0.0,2,2025-12-19
AAPL,BUY,0.0,0.0,0.0,2,2025-12-19
ABBV,BUY,0.0,0.0,0.0,2,2025-12-19
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-19
AEP,BUY,0.0,0.0,0.0,2,2025-12-19
ALB,BUY,0.0,0.0,0.0,2,2025-12-19
AMT,BUY,0.0,0.0,0.0,2,2025-12-19
AMZN,BUY,0.0,0.0,0.0,2,2025-12-19
ARM,BUY,0.0,0.0,0.0,2,2025-12-19
ASML,BUY,0.0,0.0,0.0,2,2025-12-19
AVGO,BUY,0.0,0.0,0.0,2,2025-12-19
AZN,BUY,0.0,0.0,0.0,2,2025-12-19
BA,BUY,0.0,0.0,0.0,2,2025-12-19
BAC,BUY,0.0,0.0,0.0,2,2025-12-19
BLK,BUY,0.0,0.0,0.0,2,2025-12-19
AA,BUY,0.0,0.0,0.0,2,2025-12-22
AAPL,BUY,0.0,0.0,0.0,2,2025-12-22
ABBV,BUY,0.0,0.0,0.0,2,2025-12-22
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-22
AEP,BUY,0.0,0.0,0.0,2,2025-12-22
ALB,BUY,0.0,0.0,0.0,2,2025-12-22
AMT,BUY,0.0,0.0,0.0,2,2025-12-22
AMZN,BUY,0.0,0.0,0.0,2,2025-12-22
ARM,BUY,0.0,0.0,0.0,2,2025-12-22
ASML,BUY,0.0,0.0,0.0,2,2025-12-22
AVGO,BUY,0.0,0.0,0.0,2,2025-12-22
AZN,BUY,0.0,0.0,0.0,2,2025-12-22
BA,BUY,0.0,0.0,0.0,2,2025-12-22
BAC,BUY,0.0,0.0,0.0,2,2025-12-22
BLK,BUY,0.0,0.0,0.0,2,2025-12-22
AA,BUY,0.0,0.0,0.0,2,2025-12-23
AAPL,BUY,0.0,0.0,0.0,2,2025-12-23
ABBV,BUY,0.0,0.0,0.0,2,2025-12-23
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-23
AEP,BUY,0.0,0.0,0.0,2,2025-12-23
ALB,BUY,0.0,0.0,0.0,2,2025-12-23
AMT,BUY,0.0,0.0,0.0,2,2025-12-23
AMZN,BUY,0.0,0.0,0.0,2,2025-12-23
ARM,BUY,0.0,0.0,0.0,2,2025-12-23
ASML,BUY,0.0,0.0,0.0,2,2025-12-23
AVGO,BUY,0.0,0.0,0.0,2,2025-12-23
AZN,BUY,0.0,0.0,0.0,2,2025-12-23
BA,BUY,0.0,0.0,0.0,2,2025-12-23
BAC,BUY,0.0,0.0,0.0,2,2025-12-23
BLK,BUY,0.0,0.0,0.0,2,2025-12-23
AA,BUY,0.0,0.0,0.0,2,2025-12-24
AAPL,BUY,0.0,0.0,0.0,2,2025-12-24
ABBV,BUY,0.0,0.0,0.0,2,2025-12-24
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-24
AEP,BUY,0.0,0.0,0.0,2,2025-12-24
ALB,BUY,0.0,0.0,0.0,2,2025-12-24
AMT,BUY,0.0,0.0,0.0,2,2025-12-24
AMZN,BUY,0.0,0.0,0.0,2,2025-12-24
ARM,BUY,0.0,0.0,0.0,2,2025-12-24
ASML,BUY,0.0,0.0,0.0,2,2025-12-24
AVGO,BUY,0.0,0.0,0.0,2,2025-12-24
AZN,BUY,0.0,0.0,0.0,2,2025-12-24
BA,BUY,0.0,0.0,0.0,2,2025-12-24
BAC,BUY,0.0,0.0,0.0,2,2025-12-24
BLK,BUY,0.0,0.0,0.0,2,2025-12-24
AA,BUY,0.0,0.0,0.0,2,2025-12-26
AAPL,BUY,0.0,0.0,0.0,2,2025-12-26
ABBV,BUY,0.0,0.0,0.0,2,2025-12-26
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-26
AEP,BUY,0.0,0.0,0.0,2,2025-12-26
ALB,BUY,0.0,0.0,0.0,2,2025-12-26
AMT,BUY,0.0,0.0,0.0,2,2025-12-26
AMZN,BUY,0.0,0.0,0.0,2,2025-12-26
ARM,BUY,0.0,0.0,0.0,2,2025-12-26
ASML,BUY,0.0,0.0,0.0,2,2025-12-26
AVGO,BUY,0.0,0.0,0.0,2,2025-12-26
AZN,BUY,0.0,0.0,0.0,2,2025-12-26
BA,BUY,0.0,0.0,0.0,2,2025-12-26
BAC,BUY,0.0,0.0,0.0,2,2025-12-26
BLK,BUY,0.0,0.0,0.0,2,2025-12-26
AA,BUY,0.0,0.0,0.0,2,2025-12-29
AAPL,BUY,0.0,0.0,0.0,2,2025-12-29
ABBV,BUY,0.0,0.0,0.0,2,2025-12-29
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-29
AEP,BUY,0.0,0.0,0.0,2,2025-12-29
ALB,BUY,0.0,0.0,0.0,2,2025-12-29
AMT,BUY,0.0,0.0,0.0,2,2025-12-29
AMZN,BUY,0.0,0.0,0.0,2,2025-12-29
ARM,BUY,0.0,0.0,0.0,2,2025-12-29
ASML,BUY,0.0,0.0,0.0,2,2025-12-29
AVGO,BUY,0.0,0.0,0.0,2,2025-12-29
AZN,BUY,0.0,0.0,0.0,2,2025-12-29
BA,BUY,0.0,0.0,0.0,2,2025-12-29
BAC,BUY,0.0,0.0,0.0,2,2025-12-29
BLK,BUY,0.0,0.0,0.0,2,2025-12-29
AA,BUY,0.0,0.0,0.0,2,2025-12-30
AAPL,BUY,0.0,0.0,0.0,2,2025-12-30
ABBV,BUY,0.0,0.0,0.0,2,2025-12-30
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-30
AEP,BUY,0.0,0.0,0.0,2,2025-12-30
ALB,BUY,0.0,0.0,0.0,2,2025-12-30
AMT,BUY,0.0,0.0,0.0,2,2025-12-30
AMZN,BUY,0.0,0.0,0.0,2,2025-12-30
ARM,BUY,0.0,0.0,0.0,2,2025-12-30
ASML,BUY,0.0,0.0,0.0,2,2025-12-30
AVGO,BUY,0.0,0.0,0.0,2,2025-12-30
AZN,BUY,0.0,0.0,0.0,2,2025-12-30
BA,BUY,0.0,0.0,0.0,2,2025-12-30
BAC,BUY,0.0,0.0,0.0,2,2025-12-30
BLK,BUY,0.0,0.0,0.0,2,2025-12-30
